Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,45.53405,45.19121,44.62975,43.87052,43.10211,42.11083,41.1732,40.29406,39.44215,38.77297,38.23922,37.67908,37.11415,36.37661,35.67931,34.78062,34.02474,33.5004,33.13099,32.89021,32.78142,32.69033,32.60148,32.48418,32.33773,32.08931,31.82929,31.55563,31.28732,30.99599,30.70958,30.34826,29.98489,29.65672,29.32558,29.03156,28.81658,28.59234,28.39582,28.28371,28.19096,28.27745,28.35182
Austria,39.56017,39.28808,38.77866,38.19905,37.53323,36.56784,35.39986,34.17852,32.95382,31.81355,30.76593,29.73952,28.68888,27.76122,27.0942,26.61307,26.26612,26.08587,25.99499,25.94608,26.04032,26.24987,26.43332,26.54754,26.56361,26.4399,26.19036,25.89732,25.58627,25.23843,24.8334,24.46511,24.12226,23.85451,23.64551,23.34712,22.98564,22.60052,22.26137,21.95677,21.65729,21.43897,21.35566
Canada,46.72768,45.0501,43.33241,41.62601,40.06082,38.54261,37.19721,35.84153,34.58287,33.50162,32.71835,32.21574,31.84963,31.48645,31.12104,30.6836,30.55909,30.479,30.41304,30.4169,30.45587,30.57341,30.55839,30.4051,30.14182,29.86155,29.48521,29.10469,28.59927,28.08322,27.5596,27.07545,26.61078,26.10466,25.52365,25.00855,24.56569,24.23695,23.97198,23.74417,23.61089,23.56656,23.52917
Denmark,35.8809,35.78399,35.62422,35.45229,35.30338,35.03202,34.56756,33.92792,33.13418,32.20441,31.0728,29.9496,29.06014,28.33862,27.73894,27.15052,26.5273,26.0203,25.65387,25.33021,25.14482,25.18669,25.30794,25.49206,25.81683,26.21978,26.62107,27.01449,27.39399,27.74069,28.03872,28.26411,28.40989,28.44684,28.37128,28.24691,28.06913,27.87027,27.68373,27.4899,27.30253,27.0859,26.81892
Finland,36.05863,34.98711,34.05682,33.2911,32.67171,32.14061,31.64319,31.11943,30.51847,30.04637,29.50568,29.06764,28.77458,28.59291,28.48158,28.47742,28.45188,28.60131,28.71228,28.69488,28.63502,28.56721,28.56301,28.52526,28.47507,28.41674,28.12956,27.77455,27.40955,27.13626,26.90092,26.71075,26.52885,26.2826,26.03601,25.77702,25.51861,25.24739,25.08455,25.01408,25.08475,25.24823,25.48461
Germany,36.22296,35.80042,35.10846,34.35467,33.54542,32.50827,31.33243,30.06384,28.72391,27.39786,26.0772,24.75877,23.48958,22.43438,21.65446,21.25491,20.78877,21.01772,21.40644,21.05763,23.49485,23.57444,23.47075,23.36994,23.48878,23.38212,23.11576,22.88466,22.6542,22.6652,22.51049,22.32261,21.9964,21.58585,20.8257,20.51296,20.28085,20.07244,19.90463,19.79333,20.4907,20.29997,20.08591
Iceland,54.39606,53.13505,52.12598,50.88666,49.43396,48.25538,46.99854,45.77617,44.67329,43.87684,43.1521,42.52874,42.07723,41.6831,41.11906,40.61895,39.87302,39.20348,38.88206,38.75686,38.48466,38.54848,38.66588,38.44353,37.96511,37.23343,36.8932,36.29713,35.92018,35.7728,35.46981,35.25917,34.6904,34.10484,33.38799,32.08858,31.2146,30.56245,30.94456,31.28733,31.21661,31.11202,31.02758
Ireland,54.22466,53.95309,53.68581,53.42745,53.15915,52.88773,52.60956,52.34661,52.09672,51.74413,51.39354,50.72787,50.05519,49.37135,48.72109,48.07413,47.31564,46.36376,45.52044,44.37317,43.10131,41.97214,40.77005,39.43211,37.97414,36.52669,35.21918,34.15471,33.36949,32.63955,31.95227,31.17793,30.87708,30.66468,30.25094,29.77456,29.27233,29.57997,30.22498,31.07499,31.84961,32.7097,33.39741
Japan,34.80179,35.34151,35.68903,35.92358,35.90765,35.98665,35.93393,35.73151,35.39361,34.89174,34.82062,34.02964,33.25793,32.41049,31.55268,30.50811,29.4017,28.21333,27.05814,26.17135,25.30587,24.60015,23.94884,23.45635,22.95783,22.58579,22.24903,21.92706,21.60262,21.42278,21.225,21.12104,20.96506,20.84465,20.82988,20.82263,20.83117,20.86999,20.87419,20.60195,20.53675,20.6386,20.74421
Korea,76.19585,74.49879,72.22057,69.7113,66.57776,63.51691,60.804,58.30384,56.24168,54.60553,53.18938,51.79432,50.20992,48.1694,45.98221,43.93159,41.95302,40.19127,38.65166,36.94736,35.99113,35.2538,34.60172,33.87897,33.03131,32.18186,31.20689,30.4641,29.84091,29.40844,29.04543,28.58219,28.01714,27.43717,26.76258,25.83682,24.89506,23.97417,23.06279,22.16459,21.37653,20.6782,20.07518
