Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,21504.88,21719.89,22270.41,22216,22567.57,23145.41,23072.66,23757.25,24190.36,24651.9,25054.84,24122.39,24910.4,25893.92,26565.59,26829.22,27910.89,28482.31,29062.8,28368.49,28176.81,29055.24,29921.58,30723.32,31529.88,32427.83,33575.53,34876.7,35839.5,36066.25,37085.73,37756.29,38849.32,39603.75,40180.16,40943.93,41599.49,41534.41,41732.77,42165.83,43058.48,43451.14,43910.68
Austria,18380.5,19410.27,20246.19,21008.65,20987.77,21986.09,23094.12,23064.13,24341.07,24762.5,24663.79,25141.81,25931.17,25946.1,26581.93,27176.4,27527.8,28394.86,29366,30409.53,31143.61,31447.6,31353.65,31983.47,32786.55,33511.6,34174.45,35359.56,36545.9,37688.84,38020.6,38458.08,38647.41,39455.64,40067.2,41237.21,42633.83,43119.48,41397.01,42058.75,43146.32,43245.15,42996.36
Canada,21004.54,21892.8,23132.9,23654.19,23736.45,24644.17,25199.78,25936.6,26658.32,26885.88,27486.6,26291.83,26709.71,28026.52,29086.32,29421.2,30225.37,31157.54,31314.72,30893.75,29863.6,29772.78,30229.28,31243.55,31749.92,31925.95,32963.1,33959.64,35423.94,36914.47,37162.61,37868.81,38206.25,39019.8,39888.84,40522.88,40959.58,40924.04,39264.85,40027.2,40878.82,41104.3,41640.14
Denmark,23190.68,23961.91,24793.65,24403.6,23976.86,25332.3,25724.96,26215.25,27160.37,26997.54,26828.17,27838.43,28583.48,29791.78,30972.43,32446.98,32485.05,32461.63,32658.35,33088.56,33458.57,34001.2,33886.87,35577.31,36486.26,37316.07,38365.2,39083.09,40099.16,41469.14,41662.21,41708.56,41762.5,42773.64,43643.88,45201.51,45420.36,44916.33,42480.49,43088.06,43483.75,43418.53,43652.01
Finland,15779.17,16897.19,17976.53,18459.44,18711.24,18718.86,18711.43,19202.64,20517.57,21556.31,21742.16,22288.51,22847.36,23456.11,24184.61,24763.1,25572.17,26826.12,28089.3,28154.36,26344.95,25326.13,25019.03,25892.68,26879.01,27771.12,29420.06,30934.67,32234.39,33980.36,34778.04,35276.75,35894.58,37195.37,38098.94,39491.87,41363.5,41467.93,37857.24,38811.95,39625.77,38875.22,38403.19
Germany,18975.13,19698.09,20576.17,20753.27,20651.83,21774.13,22546.72,23249.72,24207.85,24486.51,24580,24508.89,24962.14,25757.81,26417.84,27014.46,27383.37,28254.21,29145.46,30411.51,31721.59,32120.19,31637.78,32334.95,32831.67,33036.01,33628.74,34321.41,35013.74,36035.38,36619.37,36591.99,36345.14,36812.35,37126.75,38578.28,39925.17,40471.21,38330.55,39993.3,41461.7,41587.47,41677.07
Iceland,16222.63,16962.77,17853.73,18613.08,18500.76,19416.1,20968.07,22054.28,22904.76,23965.25,24701.34,24889.12,24040.97,24776.83,25390.73,26782.5,28745.93,28269.25,28021.49,28121.96,27713.53,26456.68,26531.84,27259.61,27149.12,28289.53,30040.45,31808.36,32641.79,33658.6,34502.04,34390.41,34994.04,37393.03,39338.96,40172.27,42957.52,42576.35,39831.59,38540.3,39173.66,39480.07,40786.67
Ireland,11362.4,11915.74,12279.37,12593.49,13083.89,13056.78,13938.92,14751.32,14960.85,15271.91,15587.24,15773.66,15622.89,16192.3,16635.36,16559.43,17326.72,18292.69,19472.01,21144.71,21430.48,21966.3,22437.84,23649.92,25818.3,27644.15,30170.88,32295.95,35339,38213.55,39808.07,41587.39,42185.8,44226,45838.11,47124.85,48110.67,45231.73,42729.27,43302.32,44425.53,44316.01,44928.19
Japan,15302.67,16366.73,17277.86,16833.78,17142.57,17626.42,18220.93,19007.94,19884.23,20283.45,20986.3,21530.62,22138.49,22987.29,24041.62,24716.61,25763.26,27397.89,28621.63,29923.39,30823.84,30968.96,30717.08,30977.98,31746.25,32658.78,32931.62,32472.91,32330.19,33164.93,33220.85,33190.08,33635.52,34350.16,34915.55,35388.36,35933.84,35522.85,33601.67,35007.7,35025.29,35626.7,36401.83
Korea,2703.38,2842.915,3207.208,3451.034,3660.263,4074.712,4504.253,4914.387,5257.927,5088.488,5369.503,5724.156,6387.3,6967.725,7434.105,8186.661,9117.059,10103.14,10706.88,11642.17,12720.88,13366.92,14137.66,15284.6,16579.93,17669.81,18541.53,17400.99,19231.69,20773.77,21547.91,23015.83,23568.74,24625.37,25537.41,26718.98,28036.35,28611.53,28666.11,30376.94,31253.77,31802.73,32575.21
