"x",""
1,0.575703010511633
2,0.535508119275875
3,0.510330034663368
4,0.47871442424568
5,0.453184487421579
6,0.431316416392132
7,0.413524017273847
8,0.398935078289462
9,0.381585483478867
10,0.371247205740773
11,0.365270516955096
12,0.355732301544069
13,0.349680744527037
14,0.34473336900149
15,0.339024137219248
16,0.334028138140587
17,0.330392735614595
18,0.327057417037899
19,0.325143172397121
20,0.323176021322707
21,0.320466815890395
22,0.318451575018814
23,0.316185029079694
24,0.314704193257367
25,0.312694433733407
26,0.311374004639696
27,0.310773512697551
28,0.309702631742991
29,0.307982052006754
30,0.306450383851946
31,0.304772354588735
32,0.303313204843494
33,0.302877230388322
34,0.301583425810724
35,0.301040318453032
36,0.300068467921225
37,0.299090499085754
38,0.298540696414999
39,0.298008505189456
40,0.297528087618567
41,0.296972633052677
42,0.296302861997126
43,0.295807636423571
44,0.295039863081532
45,0.294409402870259
46,0.294282602103204
47,0.294072439491235
48,0.29382471104569
49,0.293520906197253
50,0.29323658618523
