"Y" "x1" "x2" "x3" "x4" "x5" "x6" "x7"
179.1 63 2 1 4 0 "medium" 300
319 59 2 0 6 0 "low" 120
9310.7 62 17 0 2 0 "high" 353
18727.1 55 5 2 7 0 "low" 18
453.4 66 1 0 3 0 "high" 296
3243.8 68 6 2 5 0 "high" 334
599.9 50 0 0 7 1 "low" 26
2224.6 55 6 2 2 0 "low" 86
11.2 53 0 1 1 0 "low" 0
689.7 55 2 0 0 1 "low" 1
304.1 62 0 0 4 0 "medium" 282
200.4 63 0 0 3 0 "high" 340
978.9 67 5 0 2 0 "high" 285
330.2 60 1 0 1 0 "high" 318
642.2 64 4 0 1 0 "high" 347
1247 41 4 0 0 0 "low" 40
226.6 64 1 0 1 0 "low" 0
12481.1 69 15 1 8 0 "low" 315
369.6 48 2 0 1 0 "low" 13
3613.1 57 8 0 3 0 "high" 293
326 68 2 0 1 0 "low" 111
252.3 60 2 0 2 0 "high" 60
3902.8 41 3 0 3 0 "medium" 82
116.9 49 2 0 1 0 "low" 0
978.8 40 5 0 0 0 "medium" 229
6345 61 14 0 3 0 "high" 335
4869.1 52 3 0 5 0 "low" 307
73.6 63 0 0 1 0 "low" 174
635.7 60 2 0 1 0 "high" 262
160.9 69 0 0 2 0 "high" 272
7388.9 68 47 7 11 0 "low" 146
81.6 48 3 2 3 0 "low" 209
3427.6 60 12 2 1 0 "low" 79
7215.5 64 3 0 5 0 "high" 333
1466 60 6 1 2 0 "low" 0
29.2 59 1 0 2 0 "low" 0
8179.7 60 12 0 5 0 "low" 17
1518.2 53 5 0 2 0 "high" 252
221.4 66 5 0 2 0 "low" 113
1433.6 46 3 2 4 0 "low" 63
36.8 63 0 0 2 0 "low" 0
1794 60 3 0 2 0 "high" 338
80.4 54 0 0 1 0 "medium" 4
1083.9 59 8 0 3 0 "high" 345
2012.2 59 14 2 4 0 "high" 277
311.8 69 0 1 6 0 "low" 44
444.2 54 6 0 6 0 "low" 68
1687.3 56 12 0 7 0 "low" 93
45447.7 51 32 0 4 0 "high" 246
155 67 6 0 1 0 "medium" 92
38.4 62 0 0 3 0 "low" 0
8019.1 60 2 0 4 0 "low" 24
630 60 1 0 2 0 "high" 214
2782.3 56 10 3 5 1 "medium" 154
521.9 54 0 0 2 0 "high" 245
342 57 1 0 2 0 "medium" 116
354.2 59 3 0 5 0 "low" 44
215.1 62 1 0 2 0 "medium" 125
1862.9 55 6 0 5 0 "low" 189
754.9 68 3 0 2 0 "high" 292
209.5 57 2 0 1 0 "low" 216
318.5 66 11 4 5 0 "low" 141
1041.6 61 6 0 2 0 "low" 52
353.7 61 3 0 3 0 "high" 290
117.5 60 2 0 2 0 "medium" 147
3540.3 55 8 1 3 0 "low" 136
1762.7 40 10 0 2 0 "low" 28
563.4 55 4 0 1 0 "high" 342
96.2 64 2 0 2 0 "low" 7
262.2 65 1 0 1 0 "high" 315
