Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,987.937,995.686,1013.087,1145.105,1307.246,1344.738,1411.092,1418.125,1418.629,1448.472,1476.221,1483.386,1516.873,1569.956,1625.778,1696.094,1719.216,1743.978,1791.121,1861.63,1930.764,2005.406,2071.594,2140.177,2213.161,2318.829,2403.789,2555.671,2658.732,2782.694,2888.039,3015.942,3106.823,3254.584,3256.375,3335.879,3428.581,3505.554,3635.639,3610.796,3748.422,3837.87,3904.961
Austria,876.706,924.89,983.367,1068.377,1365.532,1481.884,1543.003,1602.63,1685.3,1738.924,1485.798,1508.33,1512.389,1525.342,1596.978,1661.853,1763.097,1816.342,1920.516,2346.993,2423.595,2540.053,2696.622,2875.264,2925.718,2977.243,3070.236,3235.539,3399.524,3468.775,3524.295,3613.121,3688.319,3829.724,3856.087,3930.046,4063.754,4193.673,4232.254,4297.635,4324.306,4408.717,4421.148
Canada,1388.572,1429.067,1435.866,1440.696,1551.92,1620.186,1651.272,1692.508,1709.777,1771.366,1865.954,1977.647,2055.015,2124.372,2206.938,2303.751,2348.916,2420.564,2497.718,2593.178,2711.862,2778.316,2785.864,2768.93,2717.429,2669.87,2750.866,2912.568,2960.692,3054.932,3216.536,3365.871,3454.918,3549.727,3615.68,3730.782,3808.444,3873.434,4151.838,4225.189,4182.027,4209.27,4219.298
Denmark,1778.588,1859.826,1878.865,2021.225,2044.71,2136.499,2122.726,2194.344,2300.017,2270.502,2298.514,2398.643,2403.614,2371.862,2458.762,2506.698,2613.818,2656.631,2629.688,2656.564,2653.887,2702.245,2806.34,2870.778,2830.665,2921.908,2970.297,2947.929,3341.219,3356.586,3515.222,3626.267,3714.426,3848.036,3963.366,4140.263,4230.354,4267.577,4530.087,4447.55,4410.189,4441.937,4433.454
Finland,833.246,908.419,939.364,953.194,1056.127,1119.834,1157.435,1176.274,1226.757,1273.117,1311.081,1364.819,1419.035,1467.234,1607.618,1670.73,1760.993,1795.753,1891.454,2038.798,2188.167,2154.121,1956.901,1884.052,1974.814,2074.198,2096.296,2108.737,2189.106,2320.842,2427.012,2593.503,2747.892,2895.124,3044.218,3158.13,3234.033,3349.097,3355.386,3438.852,3542.685,3608.513,3641.771
Germany,1344.052,1465.457,1603.052,1739.142,1886.64,1994.125,2048.591,2132.202,2178.41,2258.571,2349.336,2294.917,2336.477,2446.33,2552.704,2576.748,2640.626,2783.573,2661.428,2745.711,2820.833,2895.954,2842.299,2980.622,3116.007,3229.319,3246.919,3321.366,3416.776,3538.02,3608.676,3695.74,3751.523,3705.728,3792.706,3897.852,3976.127,4105.916,4264.977,4396.635,4438.412,4473.569,4544.763
Iceland,838.628,860.207,829.229,987.323,1059.754,1043.201,1115.64,1262.607,1481.76,1435.748,1512.187,1596.79,1690.633,1641.906,1742.623,1961.882,2157.483,2289.014,2216.256,2124.746,2145.35,2101.312,2131.252,2140.658,2165.756,2267.105,2336.949,2705.491,2907.516,3038.587,3069.282,3295.249,3519.02,3574.32,3614.296,3588.063,3740.048,3730.307,3600.204,3380.114,3325.629,3333.105,3458.264
Ireland,657.75,698.021,735.881,815.742,859.243,837.724,852.334,948.44,1014.952,1141.029,1102.249,1094.163,1087.647,1102.412,1137.454,1116.648,1117.405,1123.713,1120.504,1183,1295.363,1386.847,1428.273,1480.513,1571.549,1632.83,1758.883,1821.241,1975.561,2256.056,2545.889,2775.78,2956.972,3193.081,3505.643,3537.491,3754.893,4123.241,4484.765,4551.557,4754.999,4764.111,4605.764
Japan,677.467,741.392,769.028,822.832,926.437,953.574,1010.729,1090.139,1164.525,1267.108,1328.536,1395.016,1449.906,1463.801,1558.168,1585.252,1645.831,1672.634,1687.427,1722.592,1779.877,1865.841,1944.898,2037.106,1992.199,1997.467,2104.962,2145.9,2253.619,2369.823,2441.734,2479.734,2560.301,2631.227,2716.387,2761.717,2834.177,2911.815,3043.798,3205.216,3718.442,3843.129,3925.844
Korea,60.492,57.988,56.079,52.482,84.399,95.018,99.709,118.195,164.762,175.983,193.114,203.527,220.285,228.444,246.53,261.314,283.448,327.816,399.605,428.404,447.806,487.099,502.966,524.856,570.454,640.484,669,651.326,758.358,830.644,1008.598,1011.505,1099.496,1143.064,1249.036,1399.128,1520.979,1632.519,1753.616,1895.699,1969.746,2047.204,2142.821
Netherlands,1185.963,1257.289,1328.615,1421.934,1493.157,1536.794,1579.495,1636.494,1700.128,1755.912,1754.286,1783.308,1813.216,1786.792,1821.288,1886.231,1941.571,1974.251,2100.68,2223.762,2317.309,2406.714,2452.697,2470.917,2504.74,2556.268,2584.805,2712.761,2831.104,2880.558,3078.846,3273.576,3473.995,3558.981,3946.385,4039.774,4205.077,4386.046,4519.575,4633.738,4741.92,4844.72,4818.488
New Zealand,952.369,983.749,1090.722,1273.523,1338.744,1250.897,1250.846,1336.265,1282.792,1181.103,1220.903,1231.224,1227.886,1206.033,1120.034,1182.841,1245.427,1380.445,1416.689,1508.3,1532.74,1564.556,1580.478,1645.594,1694.51,1709.526,1790.422,1898.377,1955.823,2008.447,2102.671,2263.137,2267.167,2360.309,2524.954,2669.728,2645.335,2828.336,3013.512,2997.896,3030.407,3135.345,3080.005
Norway,934.115,1051.864,1130.535,1166.841,1292.943,1376.062,1477.055,1673.932,1626.636,1711.571,1755.807,1806.091,1918.097,1908.746,1995.331,2043.818,2108.135,2087.016,2080.711,2481.698,2620.085,2696.518,2719.589,2757.811,2820.08,2988.879,3374.419,3584.417,3768.162,3943.404,4076.689,4435.924,4563.496,4662.538,4749.796,4773.046,4890.334,5072.433,5175.688,5162.669,5308.205,5418.028,5475.582
