Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,13.24938,13.32486,13.44581,13.54981,13.6718,13.93089,14.08579,14.28311,14.52897,14.76611,14.93422,15.0774,15.19545,15.32441,15.52451,15.81419,16.04917,16.22372,16.4235,16.58423,16.89254,17.16392,17.47085,17.71404,17.87919,18.05899,18.21958,18.35978,18.48579,18.58344,18.75921,18.87486,18.96526,19.09702,19.23133,19.32535,19.48875,19.55658,19.74322,20.1199,20.56062,21.15713,21.65142
Austria,23.12445,23.32459,23.48593,23.72695,24.02555,24.17627,24.25382,24.31506,24.29806,24.00207,23.27999,22.42337,21.60335,21.08276,21.02481,21.20998,21.50144,21.80352,22.00409,22.11084,22.14454,22.12872,22.18209,22.35068,22.55998,22.71817,22.82169,22.88527,22.88,22.84253,22.83457,22.76845,22.67101,23.08494,23.94285,24.66643,25.2368,25.57916,25.98124,26.17919,26.1457,26.56148,27.02176
Canada,12.80599,12.84912,12.88373,12.9065,12.94374,13.08031,13.24667,13.42968,13.67144,13.85984,14.06185,14.2449,14.41421,14.63623,14.98106,15.31663,15.71089,16.01597,16.2902,16.58578,16.8861,17.1407,17.36303,17.5243,17.70191,17.85718,18.03314,18.19827,18.30177,18.39257,18.46448,18.53633,18.66114,18.78669,18.90036,19.13681,19.37291,19.6817,20.02656,20.40491,20.88085,21.58432,22.32595
Denmark,19.36887,19.72177,20.07242,20.48364,20.91955,21.27999,21.61593,21.92458,22.13488,22.25329,22.30308,22.36588,22.46544,22.54623,22.69585,22.8968,22.99254,23.06096,23.13848,23.13863,23.09461,23.03419,22.91696,22.78041,22.60608,22.43329,22.32762,22.25986,22.22214,22.21969,22.24687,22.3079,22.42613,22.5968,22.81294,23.0671,23.40565,23.87251,24.50055,25.28999,26.20467,27.13873,27.92501
Finland,14.16938,14.49742,14.87392,15.29933,15.75299,16.19586,16.68232,17.08762,17.41695,17.68161,17.86921,18.00731,18.15431,18.19002,18.32884,18.63596,18.948,19.27675,19.59964,19.87485,20.14837,20.38405,20.64193,20.94595,21.29032,21.59789,21.82667,21.96397,22.08394,22.28638,22.52304,22.80046,23.14097,23.55976,23.89254,24.40833,24.77977,24.99293,25.39459,26.08451,27.11864,28.34043,29.561
Germany,21.09734,21.4364,21.75707,22.13396,22.56476,22.90051,23.20548,23.46727,23.57833,23.39326,22.81604,22.09277,21.41357,21.06448,21.18864,21.50271,21.82786,22.02565,22.06528,21.88927,21.11553,22.2751,22.92433,23.20432,23.77552,24.04097,24.30335,24.50901,24.84445,25.54976,26.24204,26.97036,27.84649,29.02395,28.75982,29.63469,30.51385,30.93045,31.48069,31.80773,32.01885,32.17353,32.44777
Iceland,15.03698,15.03215,15.03937,15.0347,15.09434,15.21901,15.37335,15.59567,15.625,15.74528,15.69167,15.68627,15.71238,15.84484,15.94014,16.18311,16.31746,16.30367,16.33907,16.51432,16.65664,16.77573,17.00118,17.20304,17.5,17.8098,17.81839,17.78278,17.73836,17.74986,17.76608,17.8207,17.89821,17.80239,17.73034,17.3086,17.1137,16.96949,17.46119,18.14807,18.67603,19.21797,19.72323
Ireland,19.20457,19.08467,18.96842,18.8441,18.71687,18.60687,18.49702,18.38648,18.28115,18.23088,18.17018,18.13859,18.10721,18.06234,18.03194,18.03425,18.10719,18.34212,18.58225,18.59341,18.46217,18.29659,18.13978,17.93206,17.78902,17.59181,17.33067,17.17134,16.9499,16.74156,16.59588,16.42927,16.34669,16.34262,16.26497,15.91464,15.59293,15.66437,16.10342,16.71372,17.33516,18.06464,18.82809
Japan,10.40362,10.72221,11.01155,11.31492,11.69451,12.04398,12.42592,12.79386,13.18944,13.50464,13.88763,14.17173,14.42698,14.62043,15.11117,15.43758,15.82392,16.21517,16.68785,17.32993,18.00201,18.70229,19.42015,20.20475,20.94545,21.81824,22.69939,23.59411,24.41965,25.51632,26.54895,27.56866,28.46588,29.2394,30.51456,31.77318,33.08318,34.28432,35.59201,36.07267,36.57643,38.40723,40.3721
Korea,5.837675,5.615754,5.617571,5.664381,5.953614,5.966991,5.998159,6.032905,6.075693,6.139204,6.165337,6.26766,6.332772,6.402363,6.509309,6.576084,6.701796,6.863984,7.046475,7.390704,7.512099,7.663521,7.855412,8.085366,8.328191,8.645786,8.933232,9.264805,9.64559,10.07328,10.54781,11.0609,11.57378,12.10071,12.64585,13.19996,13.77498,14.26847,14.72464,15.15317,15.55872,16.11151,16.71933
Netherlands,16.36681,16.48477,16.62728,16.78381,16.89656,16.95446,17.06366,17.20807,17.32561,17.39662,17.44414,17.48809,17.50411,17.51506,17.63052,17.83248,18.02058,18.24347,18.46021,18.62767,18.7694,18.9064,19.03451,19.18163,19.37066,19.54397,19.70337,19.83938,19.94184,20.03122,20.11288,20.20621,20.36883,20.63607,20.96988,21.30961,21.65718,22.06581,22.55331,23.04239,23.84846,24.96421,25.94407
New Zealand,14.24402,14.30206,14.27775,14.21595,14.29328,14.53882,14.66185,14.90779,15.20408,15.36524,15.58442,15.70655,15.61446,15.63981,15.77465,16.07477,16.19751,16.40697,16.66667,16.93074,17.03823,17.24049,17.42884,17.55667,17.62331,17.60973,17.62401,17.7128,17.84533,17.95684,18.1146,17.99877,17.87338,17.88324,18.06931,18.37248,18.71193,18.90994,19.21769,19.57209,20.05046,20.82758,21.53201
Norway,20.79411,21.00772,21.27574,21.54896,21.87625,22.19135,22.55134,22.89866,23.15502,23.3993,23.57473,23.83321,24.08815,24.24585,24.46609,24.76723,24.91682,25.02752,25.12783,25.20029,25.16316,25.11729,24.98205,24.81257,24.6756,24.5346,24.35353,24.08779,23.71063,23.39402,23.11626,22.8088,22.61745,22.49009,22.40741,22.28013,22.13299,22.12726,22.30437,22.61353,23.05343,23.50634,23.94745
Portugal,15.6476,15.69401,15.71831,15.70247,16.30871,16.95821,17.13833,17.37389,17.65347,17.98675,18.19644,18.26059,18.24777,18.22368,18.39269,18.69527,19.0105,19.36614,19.79986,20.26845,20.70818,21.09857,21.44542,21.79543,22.16678,22.53789,22.91706,23.29442,23.61453,24.00094,24.43694,24.78799,25.11009,25.49121,25.8523,26.14436,26.43079,26.77962,27.23343,27.85368,28.53308,29.13713,29.85752
Spain,15.63186,15.92013,16.23894,16.61647,17.04004,17.3845,17.60081,17.74945,17.82624,17.83837,17.84752,17.9988,18.0877,18.23452,18.4467,18.74731,19.17501,19.60891,20.00197,20.40247,20.76766,21.07447,21.4084,21.77826,22.18598,22.6023,23.0227,23.48509,23.86651,24.24549,24.69578,24.74021,24.57739,24.25032,24.00492,24.09655,23.89166,23.94276,24.33208,24.89412,25.44617,25.96416,26.76813
