Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,61.341,60.831,60.794,61.134,73.029,66.306,60.769,62.066,61.621,62.917,61.27,58.941,62.886,71.479,71.543,70.289,70.07,68.188,67.405,66.189,66.024,65.845,65.663,65.53,66.365,65.818,67.32,67.778,69.698,68.379,67.756,68.626,68.05,68.345,68.402,68.307,69.308,68.998,69.296,68.636,69.214,67.536,67.552
Austria,61.25,61.053,61.138,63.315,67.838,68.043,68.377,68.022,66.582,67.217,74.109,73.791,74.398,73.894,74.599,74.656,74.613,74.154,72.092,74.378,74.422,74.883,75.191,75.953,75.257,74.98,75.482,75.432,75.647,75.537,75.009,74.797,74.498,73.38,73.975,74.4,74.365,74.959,75.1,74.647,74.614,74.678,74.006
Canada,73.487,74.162,74.301,75.615,76.506,77.403,77.007,76.615,75.962,76.118,76.373,76.8,76.758,76.12,75.577,75.066,74.989,74.682,74.518,74.269,74.306,73.834,72.405,71.485,70.949,70.554,69.762,70.253,69.758,69.973,69.707,69.267,69.949,69.879,69.861,69.555,69.703,69.789,70.224,69.961,70.609,70.538,70.458
Denmark,83.65,84.014,83.824,85.031,85.432,86.965,86.492,86.85,87.766,87.258,87.24,87.087,86.19,85.379,85,84.08,83.903,84.221,83.783,82.384,83.217,82.858,82.274,81.734,82.025,81.894,81.691,81.012,83.167,83.107,83.406,83.806,83.91,83.549,83.744,83.87,83.708,84.02,84.459,83.88,83.614,83.98,84.261
Finland,71.005,69.715,71.784,72.783,76.933,76.854,77.356,76.561,77.133,77.946,78.509,78.768,77.719,77.204,77.578,78.35,78.683,78.501,79.094,79.999,80.301,78.928,75.363,74.791,71.23,71.117,71.392,72.024,71.207,71.196,71.893,72.61,74.958,75.368,75.512,74.835,74.739,74.725,74.778,74.263,74.804,75.331,75.167
Germany,73.359,74.444,75.902,77.168,78.087,78.048,77.862,77.847,77.665,77.839,77.879,77.307,76.368,76.616,76.582,76.853,76.735,76.494,75.134,75.441,77.5395,79.638,79.054,79.375,80.276,80.96,79.718,79.141,80.3,78.301,78.244,77.804,77.353,75.807,75.562,75.163,75.137,75.293,83.588,83.436,83.276,83.144,83.89
Iceland,66.578,81.622,82.143,87.484,87.131,86.957,87.228,89.583,89.504,87.685,88.229,88.477,89.021,86.306,86.362,85.901,86.741,86.626,86.036,86.187,86.234,84.388,82.872,83.148,83.476,82.939,81.655,79.897,81.1,80.573,80.526,81.433,81.666,81.21,81.364,81.954,82.514,82.597,81.982,80.428,80.056,79.934,80.243
Ireland,68.362,71.478,75.436,76.774,83.534,82.095,80.454,80.628,82.332,80.797,82.044,81.863,80.149,77.664,76.524,75.485,73.654,72.252,73.936,73.183,73.664,74.323,74.781,74.53,74.112,73.523,74.601,75.131,75.483,77.514,78.439,78.991,78.763,78.916,78.868,77.825,79.233,79.321,77.072,76.178,71.508,70.986,70.517
Japan,65.738,67.663,68.825,74.127,72.039,75.117,72.794,76.046,74.307,71.294,70.998,70.986,72.777,72.873,70.724,72.423,73.657,75.181,76.641,77.594,78.33,78.135,79.197,78.61,81.752,81.752,80.782,80.102,80.057,80.431,80.964,80.753,79.964,80.274,81.168,80.322,81.249,81.171,81.294,81.927,83.741,83.931,84.261
Korea,12.763,10.597,10.822,11.25,10.477,9.071,12.66,12.666,17.133,20.152,19.886,24.069,27.739,30.69,32.584,30.525,31.567,34.262,34.745,40.088,37.642,38.202,40.017,41.743,42.116,44.851,47.811,52.408,52.234,53.89,56.967,57.595,57.419,57.982,58.36,60.2,60.021,58.375,60.239,60.382,59.643,58.886,58.958
Netherlands,68.6,68.56,69.151,70.321,71.925,71.985,72.477,72.77,72.373,73.193,73.632,74.29,73.647,73.732,73.255,70.683,71.202,70.612,71.952,71.197,72.797,76.356,77.319,76.429,75.377,69.904,71.159,67.082,65.788,66.36,65.779,65.523,66.54,65.615,67.271,82.666,83.006,81.688,82.435,82.55,82.186,81.971,81.075
New Zealand,74.857,77.284,74.037,74.05,73.656,74.823,76.287,76.917,84.385,87.997,95.181,88.042,88.612,87.014,86.973,86.297,87.236,85.618,85.821,82.411,82.243,79.034,76.633,77.513,77.169,76.681,77.289,77.034,77.482,78.016,76.422,77.898,78.338,79.632,79.678,80.069,82.395,80.857,81.064,81.172,80.879,80.498,80.052
Norway,88.899,94.833,93.988,94.25,95.788,97.06,98.099,91.978,94.847,98.188,98.268,96.974,96.658,97.225,96.299,96.167,97.374,93.587,92.056,82.803,83.999,84.547,84.338,84.391,83.855,83.713,80.641,81.341,81.587,81.682,82.8,82.885,83.167,83.017,83.051,83.342,83.701,84.135,84.436,84.681,84.423,84.755,85.023
Portugal,58.592,58.199,58.853,61.56,57.484,64.957,68.532,65.224,67.482,62.409,61.669,53.898,50.156,49.578,53.533,51.468,50.561,53.007,52.415,64.913,62.088,58.625,62.108,62.11,61.474,64.094,64.409,66.026,66.496,70.468,70.813,72.588,71.005,71.02,71.27,69.133,68.712,68.385,69.921,69.769,67.695,65.569,66.922
Spain,63.528,67.103,76.169,71.974,76.854,73.233,75.499,78.884,79.296,79.957,78.684,79.319,85.061,81.971,80.493,79.541,79.41,79.019,77.758,78.365,77.099,77.109,76.267,75.535,72.039,72.184,72.211,71.909,71.752,71.358,71.029,71.04,71.316,71.583,71.87,72.47,72.725,73.636,75.397,74.781,73.786,72.18,71.025
